puma,total_seats,total_vacancy,tot_births_22,pre_sch_age,population,white_nh,black_nh,hispanic,asian_api_nh,other_multiracial_nh,pct_white_nh,pct_black_nh,pct_hispanic,pct_asian_api_nh,pct_other_multiracial_nh,households,mean_household_income,median_household_income,seats_per_child_children,vacancy_rate,median_inc_10k,pct_hispanic10,pct_black10,pct_asian10,seats_per_child
4401,2407,327,1637,3274,176768,82707,10715,46535,28177,8634,0.467884458725561,0.0606161748732802,0.26325466147719,0.159401022809558,0.0488436821144099,81731,107984.487599564,80000,0.735186316432499,0.135853759867054,8,2.6325466147719,0.606161748732802,1.59401022809558,0.735186316432499
4402,2123,289,1459,2918,124442,36823,2955,37360,42719,4585,0.29590491956092,0.0237460021536137,0.30022018289645,0.343284421658283,0.036844473730734,55701,127492.485018222,85000,0.727553118574366,0.136128120584079,8.5,3.0022018289645,0.237460021536137,3.43284421658283,0.727553118574366
4403,2046,240,1785,3570,161372,17785,10005,99565,29127,4890,0.110211189053863,0.0619996034008378,0.616990555982451,0.180495996827207,0.0303026547356419,53966,92527.9331430901,70000,0.573109243697479,0.117302052785924,7,6.16990555982451,0.619996034008378,1.80495996827207,0.573109243697479
4404,2788,619,1776,3552,167268,8989,9245,87610,57527,3897,0.0537401056986393,0.0552705837338881,0.523770236984958,0.343921132553746,0.0232979410287682,53453,81944.4134099115,63000,0.78490990990991,0.222022955523673,6.3,5.23770236984958,0.552705837338881,3.43921132553746,0.78490990990991
4405,2156,392,1605,3210,177038,81972,3297,67782,18106,5881,0.463019238807488,0.0186231204600142,0.382866955116981,0.102271828646957,0.0332188569685604,65677,102713.520867275,80100,0.671651090342679,0.181818181818182,8.01,3.82866955116981,0.186231204600142,1.02271828646957,0.671651090342679
4406,2303,405,1156,2312,123341,50989,4542,23454,36566,7790,0.413398626571862,0.0368247379216968,0.190155747075182,0.296462652321612,0.0631582361096472,53573,119601.357997499,91300,0.996107266435986,0.175857577073383,9.13,1.90155747075182,0.368247379216968,2.96462652321612,0.996107266435986
4407,4060,957,1841,3682,248817,55599,4384,45550,135940,7344,0.223453381400789,0.0176193748819413,0.183066269587689,0.546345305987935,0.0295156681416463,94645,94110.7691267367,65000,1.10266159695818,0.235714285714286,6.5,1.83066269587689,0.176193748819413,5.46345305987935,1.10266159695818
4408,2827,587,1338,2676,151261,43496,18054,30456,47476,11779,0.287555946344398,0.11935660877556,0.201347340028163,0.313868082321286,0.0778720225305928,56247,98465.7910644123,78800,1.05642750373692,0.207640608418819,7.88,2.01347340028163,1.1935660877556,3.13868082321286,1.05642750373692
4409,2262,358,1513,3026,146308,24368,8596,59959,38367,15018,0.166552751729229,0.0587527681329797,0.409813544030402,0.262234464280832,0.102646471826558,46765,104963.470629744,79400,0.747521480502313,0.158267020335986,7.94,4.09813544030402,0.587527681329797,2.62234464280832,0.747521480502313
4410,1851,353,1092,2184,135928,26536,16994,35544,31195,25659,0.195220999352598,0.125022070507916,0.261491377788241,0.229496498146077,0.188769054205167,41693,110348.544599813,86300,0.847527472527472,0.190707725553755,8.63,2.61491377788241,1.25022070507916,2.29496498146077,0.847527472527472
4411,2288,336,465,930,120163,42021,2792,16957,54364,4029,0.349699990845768,0.0232351056481612,0.141116649883908,0.452418797799656,0.0335294558225078,45163,118911.970595399,92800,2.46021505376344,0.146853146853147,9.28,1.41116649883908,0.232351056481612,4.52418797799656,2.46021505376344
4412,3698,877,2489,4978,253583,4794,139465,43535,39847,25942,0.0189050527835068,0.549977719326611,0.171679489555688,0.157135927881601,0.102301810452593,80268,91412.0879055165,69200,0.742868621936521,0.237155219037317,6.92,1.71679489555688,5.49977719326611,1.57135927881601,0.742868621936521
4413,2830,488,1259,2518,204697,17166,106853,27974,38844,13860,0.083860535327826,0.522005696224175,0.136660527511395,0.18976340640068,0.0677098345359238,65099,117426.914453371,97200,1.12390786338364,0.17243816254417,9.72,1.36660527511395,5.22005696224175,1.8976340640068,1.12390786338364
