puma,population,white_nh,black_nh,hispanic,asian_nh,aian_nhpi,other_2plus,pct_white_nh,pct_black_nh,pct_hispanic,pct_asian_nh,pct_aian_nhpi,pct_other_2plus,pct_other_2plus_combined,households,mean_household_income,median_household_income
4212,158176,9336,91742,45340,3474,807,7477,0.059022860610965,0.579999494234271,0.286642727088812,0.0219628767954683,0.00510191179445681,0.0472701294760267,0.0523720412704835,57533,80655.6850850816,58500
4221,155129,3763,38604,107666,1246,336,3514,0.0242572310786507,0.248850956300885,0.694041733009302,0.00803202495987211,0.00216593931502169,0.0226521153362685,0.0248180546512902,57982,46920.8987271912,29400
4263,177301,7575,57696,104758,1336,457,5479,0.0427239553076407,0.325412716228335,0.590848331368689,0.00753520848726178,0.00257753763374149,0.0309022509743318,0.0334797886080733,66344,43823.359911974,31000
4301,207774,123995,14104,44251,14549,183,10692,0.596778230192421,0.0678814481118908,0.212976599574538,0.0700231982827495,0.000880764677004823,0.0514597591613965,0.0523405238384013,85667,143711.464811421,96000
4302,128183,62317,23217,17690,14823,251,9885,0.486156510613732,0.181123861978578,0.138005819804498,0.115639359353424,0.00195813797461442,0.0771163102751535,0.0790744482497679,61223,197551.969096581,130000
4303,182770,52219,75134,34027,7819,262,13309,0.285708814356842,0.411084970181102,0.186173879739563,0.0427805438529299,0.00143349565027083,0.072818296219292,0.0742517918695628,71580,108953.646130204,73000
4304,112526,28940,18702,52106,6727,101,5950,0.257185006131916,0.166201588966106,0.463057426728045,0.0597817393313545,0.000897570339299362,0.0528766685032792,0.0537742388425786,45492,100311.371010288,78800
4305,198985,6540,94034,70738,13854,479,13340,0.0328667990049501,0.472568284041511,0.355494132723572,0.0696233384425962,0.00240721662436867,0.0670402291630022,0.0694474457873709,71948,67135.0377494857,50000
4306,120197,73482,10489,18253,9414,50,8509,0.611346373037597,0.0872650731715434,0.151859031423413,0.0783214223316722,0.00041598375999401,0.0707921162757806,0.0712081000357746,52116,221720.082930386,154000
4307,120291,33927,3321,49639,28466,350,4588,0.282041050452652,0.0276080504775918,0.412657638559826,0.236642807857612,0.00290961086033037,0.0381408417919878,0.0410504526523181,41131,119514.483479614,79500
4308,109891,32044,48989,14206,5497,127,9028,0.291598038055892,0.445796289050059,0.129273552884222,0.050022294819412,0.00115569063890583,0.0821541345515101,0.0833098251904159,48512,120815.029889512,80000
4309,98449,28347,50957,9108,2523,17,7497,0.28793588558543,0.517597944113196,0.0925149061950858,0.0256274822496927,0.000172678239494561,0.0761511036171013,0.0763237818565958,40483,100250.678704641,68900
4310,124997,64377,2895,24114,28732,238,4641,0.515028360680656,0.0231605558533405,0.19291662999912,0.2298615166764,0.00190404569709673,0.0371288910933862,0.039032936790483,49215,114325.802296048,80000
4311,181237,66764,3137,32637,73619,467,4613,0.368379525152149,0.0173088276676396,0.180079122916402,0.40620292765826,0.00257673653834482,0.0254528600672048,0.0280295966055496,62329,85097.079224759,60000
4312,196473,117768,6534,25762,36150,386,9873,0.599410606037471,0.033256477989342,0.131122342510167,0.183994747369868,0.00196464654176401,0.0502511795513887,0.0522158260931528,55094,93565.6389080481,60600
4313,111213,59040,14718,17821,14493,135,5006,0.530873189285425,0.132340643629791,0.160242058032784,0.130317498853551,0.00121388686574411,0.0450127233327039,0.046226610198448,46712,71959.1488268539,43000
