citycouncildistrict,total_bldgs,med_yearbuilt,mean_yearbuilt,year
49,44550,1941,1949.06221855961,2012
51,48191,1980,1975.6068307995,2012
15,7824,1925,1935.36071163825,2013
16,5061,1927.5,1941.82253153545,2013
17,8757,1931,1947.64270990793,2013
18,13217,1931,1943.46727185858,2013
13,31416,1940,1943.60270395485,2013
14,4123,1921,1929.78778497045,2013
8,4314,1910,1927.30728587319,2013
11,13565,1930,1935.95992587445,2013
0,258,1960,1956.54444444444,2013
22,19770,1930,1937.36780634216,2013
12,21310,1949,1946.61710186514,2013
10,2134,1920,1923.26673751328,2013
33,16901,1913,1919.5996497609,2013
39,19463,1915,1918.44687796771,2013
38,17517,1920,1922.72499170262,2013
35,12984,1915,1922.12694632717,2013
36,15188,1905,1919.05799240827,2013
43,32209,1925,1927.52510748065,2013
47,20349,1930,1940.35641469513,2013
44,23717,1930,1933.09464215878,2013
50,46630,1965,1964.63444292045,2013
37,20680,1915,1926.07946648733,2013
41,15585,1925,1932.41910876133,2013
34,16219,1930,1933.11826852531,2013
40,11093,1920,1921.67348329925,2013
42,18693,1950,1951.62219553814,2013
45,26255,1930,1930.08436457549,2013
48,22505,1928,1932.70229524337,2013
46,40529,1940,1944.41469675263,2013
1,5663,1910,1920.23212783852,2013
2,4756,1910,1918.72516316171,2013
3,9492,1913,1920.50537103346,2013
6,3895,1910,1914.52721183366,2013
4,4541,1920,1923.01340155945,2013
9,5511,1910,1920.40865677708,2013
7,3472,1920,1919.40200193736,2013
5,3494,1915,1924.17368928916,2013
26,17266,1931,1937.82274699481,2013
21,19118,1930,1940.63150218765,2013
25,12699,1940,1944.81960068917,2013
30,40798,1930,1932.34588813605,2013
32,42331,1930,1936.34761602483,2013
24,28297,1941,1944.28908492979,2013
29,20006,1935,1937.04820681616,2013
19,49363,1945,1946.93866236433,2013
28,35765,1925,1935.15416766181,2013
20,22843,1950,1949.09165609329,2013
23,46864,1945,1943.92265662495,2013
27,50462,1934,1938.55377885051,2013
31,35775,1950,1950.50851685831,2013
49,45669,1943,1949.25854732208,2013
51,49504,1980,1975.93787388562,2013
15,10456,1925,1931.99393847553,2014
17,9093,1931,1950.13933674138,2014
16,3823,1927,1939.00693641619,2014
14,4441,1922,1931.0816166884,2014
8,5458,1920,1934.02713262427,2014
18,13254,1931,1943.70238095238,2014
13,30460,1940,1944.56186127419,2014
0,212,1955,1955.47540983607,2014
22,22602,1931,1939.05672087811,2014
12,21161,1950,1947.06382608696,2014
11,10263,1930,1936.56094015023,2014
10,2627,1921,1925.63975427819,2014
33,15169,1915,1923.04315052688,2014
35,13264,1915,1920.50917022792,2014
39,21436,1910,1916.81389396709,2014
38,18309,1920,1924.30970414967,2014
36,15947,1905,1919.74120890204,2014
40,10710,1920,1922.01230269267,2014
41,15968,1930,1934.18085987501,2014
37,19556,1915,1925.02576767436,2014
34,15929,1930,1933.55935613682,2014
43,32016,1925,1928.49845551446,2014
42,16464,1935,1951.19414285714,2014
46,37738,1950,1946.96297348485,2014
45,30484,1925,1928.69806832239,2014
48,23527,1930,1935.31181631723,2014
44,23163,1930,1934.00820666936,2014
47,23809,1930,1937.91048337866,2014
1,5694,1910,1920.08448928121,2014
2,5007,1910,1919.30806451613,2014
3,8189,1910,1919.58033780858,2014
6,4128,1910,1914.03238651447,2014
9,5804,1910,1921.70724637681,2014
7,3245,1912,1917.65870543441,2014
5,3392,1920,1924.61177248677,2014
4,5980,1920,1924.60514624213,2014
26,15319,1930,1937.47826792086,2014
21,16837,1930,1941.48730684327,2014
25,13661,1937,1942.66783981737,2014
30,40701,1930,1934.15772665059,2014
20,21824,1950,1949.73188451576,2014
29,19506,1933,1936.71998577525,2014
24,27721,1940,1944.22722581346,2014
19,49627,1945,1947.19230097765,2014
28,41251,1925,1934.7850170815,2014
32,41329,1930,1936.63847380326,2014
